cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
176,1,170,2,8410,1,1,0,0,10,0,65535,8413,-2,3,0,0,0,0,212,0,0,0,0
177,1,171,2,8409,1,1,0,0,10,0,65535,8411,-1,2,0,1,219,0,212,0,0,0,0
178,1,172,2,8408,1,1,0,0,9,0,65535,8410,-2,3,0,0,0,0,212,0,0,0,0
179,1,173,2,8407,1,1,0,0,8,0,65535,8409,-1,2,0,0,0,0,212,0,0,0,0
180,1,174,2,8406,1,1,0,0,8,0,65535,8408,-1,2,0,0,0,0,212,0,0,0,0
181,1,175,2,8405,1,1,0,0,7,0,65535,8407,-1,2,0,1,251,0,212,0,0,0,0
182,1,176,2,8404,1,1,0,0,7,0,65535,8406,-1,2,0,0,0,0,212,0,0,0,0
183,1,177,2,8403,1,1,0,0,6,0,65535,8405,-1,2,0,0,0,0,212,0,0,0,0
184,1,178,2,8402,1,1,0,0,5,0,65535,8404,-1,2,0,0,0,0,212,0,0,0,0
185,1,179,2,8401,1,1,0,0,5,0,65535,8403,-1,2,0,1,255,0,212,0,0,0,0
186,1,180,2,8400,1,1,0,0,5,0,65535,8402,-1,2,0,0,0,0,212,0,0,0,0
187,1,181,2,8399,1,1,0,0,4,0,65535,8401,-1,2,0,0,0,0,212,0,0,0,0
188,1,182,2,8398,1,1,0,0,4,0,65535,8400,-1,2,0,0,0,0,212,0,0,0,0
189,1,183,2,8397,1,1,0,0,4,0,65535,8399,-1,2,0,1,255,0,212,0,0,0,0
190,1,184,2,8395,1,1,0,0,4,0,65535,8398,-1,2,0,0,0,0,212,0,0,0,0
191,1,185,2,8394,1,1,0,0,4,0,65535,8397,-1,2,0,0,0,0,212,0,0,0,0
192,1,186,2,8392,1,1,0,0,4,0,65535,8395,-1,2,0,0,0,0,212,0,0,0,0
193,1,187,2,8390,1,1,0,0,4,0,65535,8394,-2,3,0,1,255,0,212,0,0,0,0
194,1,188,2,8388,1,1,0,0,4,0,65535,8392,-1,2,0,0,0,0,212,0,0,0,0
195,1,189,2,8386,1,1,0,0,4,0,65535,8390,-2,3,0,0,0,0,212,0,0,0,0
196,1,190,2,8383,1,1,0,0,5,0,65535,8388,-2,3,0,1,189,0,212,0,0,0,0
197,1,191,2,8381,1,1,0,0,5,0,65535,8386,-2,3,0,0,0,0,212,0,0,0,0
198,1,192,2,8378,1,1,0,0,5,0,65535,8383,-2,3,0,0,0,0,212,0,0,0,0
199,1,193,2,8375,1,1,0,0,6,0,65535,8381,-3,4,0,1,109,0,212,0,0,0,0
200,1,194,2,8372,1,1,0,0,6,0,65535,8378,-2,3,0,0,0,0,212,0,0,0,0
201,1,195,2,8369,1,1,0,0,7,0,65535,8375,-3,4,0,1,183,0,212,0,0,0,0
202,1,196,2,8366,1,1,0,0,8,0,65535,8372,-3,4,0,1,1,0,212,0,0,0,0
203,1,197,2,8363,1,1,0,0,8,0,65535,8369,-3,4,0,1,221,0,212,0,0,0,0
204,1,198,2,8360,1,1,0,0,9,0,65535,8366,-3,4,0,0,0,0,212,0,0,0,0
205,1,199,2,8357,1,1,0,0,10,0,65535,8363,-3,4,0,1,221,0,212,0,1,0,0
206,1,200,2,8354,1,1,0,0,10,0,65535,8360,-3,4,0,0,0,1,8,0,1,0,0
207,1,201,2,8351,1,1,0,0,10,0,65535,8357,-3,4,0,1,221,1,16,0,1,0,0
208,1,202,2,8348,1,1,0,0,11,0,65535,8354,-3,4,0,0,0,1,192,0,1,0,0
209,1,203,2,8345,1,1,0,0,11,0,65535,8351,-3,4,0,1,221,1,2,0,1,0,0
210,1,204,2,8342,1,1,0,0,11,0,65535,8348,-3,4,0,0,0,1,0,0,1,0,0
211,1,205,2,8339,1,1,0,0,12,0,65535,8345,-3,4,0,1,221,1,29,0,1,0,0
212,1,206,2,8337,1,1,0,0,12,0,65535,8342,-3,4,0,0,0,1,0,0,1,0,0
213,1,207,2,8334,1,1,0,0,12,0,65535,8339,-3,4,0,1,221,1,0,0,1,0,0
214,1,208,2,8332,1,1,0,0,12,0,65535,8337,-3,4,0,0,0,1,0,0,1,0,0
215,1,209,2,8330,1,1,0,0,12,0,65535,8334,-2,3,0,1,221,1,0,0,1,0,0
216,1,210,2,8328,1,1,0,0,12,0,65535,8332,-3,4,0,0,0,1,0,0,1,0,0
217,1,211,2,8326,1,1,0,0,11,0,65535,8330,-2,3,0,0,0,1,78,0,1,0,0
218,1,212,2,8325,1,1,0,0,11,0,65535,8328,-2,3,0,1,110,1,156,0,1,0,0
219,1,213,2,8323,1,1,0,0,11,0,65535,8326,-2,3,0,0,0,1,255,0,1,0,0
220,1,214,2,8322,1,1,0,0,10,0,65535,8325,-2,3,0,1,219,1,255,0,1,0,0
221,1,215,2,8321,1,1,0,0,10,0,65535,8323,-1,2,0,0,0,1,223,0,1,0,0
222,1,216,2,8320,1,1,0,0,9,0,65535,8322,-2,3,0,0,0,1,219,0,1,0,0
223,1,217,2,8319,1,1,0,0,8,0,65535,8321,-1,2,0,1,222,1,118,0,1,0,0
224,1,218,2,8318,1,1,0,0,8,0,65535,8320,-1,2,0,0,0,1,187,0,1,0,0
225,1,219,2,8317,1,1,0,0,7,0,65535,8319,-1,2,0,0,0,1,187,0,1,0,0
226,1,220,2,8316,1,1,0,0,7,0,65535,8318,-1,2,0,0,0,1,187,0,1,0,0
227,1,221,2,8315,1,1,0,0,6,0,65535,8317,-1,2,0,1,255,1,187,0,1,0,0
228,1,222,2,8314,1,1,0,0,5,0,65535,8316,-1,2,0,0,0,1,187,0,1,0,0
229,1,223,2,8313,1,1,0,0,5,0,65535,8315,-1,2,0,0,0,1,187,0,1,0,0
230,1,224,2,8312,1,1,0,0,5,0,65535,8314,-1,2,0,0,0,1,187,0,1,0,0
231,1,225,2,8311,1,1,0,0,4,0,65535,8313,-1,2,0,1,255,1,219,0,1,0,0
232,1,226,2,8310,1,1,0,0,4,0,65535,8312,-1,2,0,0,0,1,109,0,1,0,0
233,1,227,2,8309,1,1,0,0,4,0,65535,8311,-1,2,0,0,0,1,219,0,1,0,0
234,1,228,2,8307,1,1,0,0,4,0,65535,8310,-1,2,0,0,0,1,251,0,1,0,0
235,1,229,2,8306,1,1,0,0,4,0,65535,8309,-1,2,0,1,255,1,255,0,1,0,0
236,1,230,2,8304,1,1,0,0,4,0,65535,8307,-1,2,0,0,0,1,255,0,1,0,0
237,1,231,2,8302,1,1,0,0,4,0,65535,8306,-2,3,0,0,0,1,255,0,1,0,0
238,1,232,2,8300,1,1,0,0,4,0,65535,8304,-1,2,0,0,0,1,189,0,1,0,0
